Top - PE ID,Order,Top2 - PE ID,Order,Top3 - PE ID,Order,5TX - PE ID,Order,1TX_FPGA - PE ID,Order,1RX_FPGA - PE ID,Order,5TX_FPGA,Order,5RX_FPGA,Order,1TX_BAL,Order,1RX_BAL,Order,5TX_BAL,Order,5RX_BAL,Order,1TX_BIG,Order,1RX_BIG,Order,5TX_BIG,Order,5RX_BIG,Order,LD,Order,PD 64 - MULTI,Order
2,1,2,1,2,1,2,1,9,0,1,0,8,0,3,0,2,0,2,0,9,0,0,1,2,0,4,0,8,0,6,1,7,0,1,0
2,2,1,1,0,1,0,1,5,0,1,1,3,0,1,0,2,1,2,1,6,0,0,5,2,1,4,1,3,1,1,3,3,0,3,8
1,1,1,2,2,3,0,2,5,1,11,0,3,1,13,0,2,2,11,0,2,3,12,3,2,2,10,0,3,2,13,0,11,0,2,1
0,1,2,2,2,2,0,4,5,2,1,2,3,3,2,1,2,3,1,0,2,4,6,10,2,3,5,4,3,3,7,7,10,0,3,11
2,3,2,3,1,1,3,1,13,0,1,3,13,0,2,2,11,0,1,1,13,0,2,10,11,1,5,5,11,2,4,8,1,0,0,26
0,2,0,1,0,2,0,10,0,0,1,4,5,0,1,2,2,4,1,2,3,12,2,11,6,4,5,6,6,8,6,23,10,0,13,4
1,2,0,2,2,4,0,6,,,1,5,4,0,7,3,,,1,3,1,0,2,12,,,5,7,2,1,2,10,2,0,5,4
0,3,1,3,0,3,0,7,,,14,0,4,1,0,0,,,14,0,1,1,6,4,,,15,0,2,2,5,2,,,2,17
1,3,2,4,1,2,0,8,,,1,6,4,2,10,1,,,2,2,1,2,13,3,,,0,3,2,3,10,0,,,12,12
1,4,2,5,1,3,3,2,,,1,7,10,1,0,2,,,2,3,12,0,0,15,,,0,4,13,2,6,8,,,5,1
,,,,,,0,12,,,,,3,4,0,3,,,,,3,9,3,16,,,,,2,8,3,10,,,13,3
,,,,,,1,3,,,,,0,0,0,4,,,,,0,0,5,18,,,,,5,1,4,9,,,3,13
,,,,,,1,4,,,,,0,1,0,5,,,,,0,1,3,21,,,,,5,2,3,14,,,7,8
,,,,,,1,5,,,,,0,2,2,0,,,,,0,2,7,2,,,,,5,3,6,3,,,1,12
,,,,,,4,2,,,,,10,0,11,0,,,,,11,0,10,3,,,,,12,2,11,1,,,3,20
,,,,,,0,11,,,,,3,3,7,1,,,,,1,9,4,9,,,,,5,8,0,9,,,0,29
,,,,,,0,5,,,,,2,0,6,0,,,,,3,3,1,20,,,,,6,1,2,7,,,2,33
,,,,,,1,6,,,,,2,1,7,2,,,,,3,4,1,21,,,,,6,2,1,16,,,0,1
,,,,,,0,9,,,,,2,2,1,3,,,,,3,5,1,22,,,,,6,3,1,17,,,0,2
,,,,,,4,3,,,,,12,0,3,1,,,,,13,1,0,2,,,,,10,2,6,2,,,5,5
,,,,,,1,8,,,,,6,3,10,0,,,,,2,8,10,0,,,,,0,3,12,0,,,1,17
,,,,,,1,1,,,,,6,0,0,1,,,,,2,1,2,8,,,,,7,1,2,5,,,2,4
,,,,,,1,2,,,,,6,1,3,2,,,,,2,2,2,9,,,,,7,2,1,13,,,11,10
,,,,,,0,1,,,,,6,2,5,0,,,,,1,3,5,14,,,,,7,3,7,20,,,2,28
,,,,,,4,1,,,,,11,0,2,3,,,,,10,2,3,17,,,,,13,3,6,24,,,4,11
,,,,,,1,7,,,,,0,3,7,0,,,,,3,10,4,2,,,,,3,6,3,2,,,5,9
,,,,,,0,13,,,,,0,4,12,0,,,,,3,13,12,2,,,,,3,7,12,1,,,3,17
,,,,,,,,,,,,,,1,1,,,,,,,6,8,,,,,,,0,11,,,2,26
,,,,,,,,,,,,,,4,0,,,,,,,0,16,,,,,,,0,12,,,7,10
,,,,,,,,,,,,,,3,3,,,,,,,0,17,,,,,,,0,13,,,3,12
,,,,,,,,,,,,,,3,4,,,,,,,0,18,,,,,,,0,14,,,3,7
,,,,,,,,,,,,,,15,0,,,,,,,14,0,,,,,,,14,0,,,6,8
,,,,,,,,,,,,,,7,4,,,,,,,1,25,,,,,,,7,21,,,2,32
,,,,,,,,,,,,,,7,5,,,,,,,1,26,,,,,,,7,22,,,11,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29
